Random waveform, supplied seed
Total number of intervals = 112 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185)
Average QPS expected = 93505
Timestamp start: 1747332604044
Timestamp end: 1747333604288

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      237.9   140.6    59.1   140.7   150.1   219.3   273.0   295.4   310.0   325.7   344.7   372.6   433.4   637.9  7181.4  72214.8    72278
read      241.3    95.9    63.8   141.4   152.5   238.5   276.0   292.5   304.6   318.3   337.4   365.5   425.4   568.0  2293.9  47622.1    47757
read      243.4   127.9    59.1   142.0   152.1   231.9   280.2   299.9   313.8   329.4   347.0   375.1   441.1   726.0  4049.9  60560.2    60510
read      241.5   101.0    59.1   143.6   161.0   240.6   266.6   279.9   289.9   301.5   318.0   344.9   412.7   769.9  4160.6  25350.1    25237
read      233.6   121.5    59.1   142.9   151.8   210.1   259.4   288.4   306.3   324.5   344.8   372.6   431.5   575.4  4195.4  97893.7    97783
read      231.8   177.5    63.8   144.3   153.0   206.3   247.5   275.5   295.5   317.2   340.9   371.2   431.5   678.3  5539.2 118902.7   118966
read      227.0   114.7    63.8   127.2   159.7   225.8   248.0   260.0   268.8   279.0   293.1   316.7   373.1   562.0  5549.3  16591.9    16631
read      218.9    84.7    63.8   114.4   155.2   218.1   238.0   249.6   257.8   268.5   282.3   305.7   363.7   567.8  3042.2  11763.2    11743
read      234.1   176.8    59.1   145.1   153.8   209.0   252.1   281.0   301.5   323.4   346.6   376.7   434.8   578.3  6514.8 115051.1   115026
read      234.3   180.9    63.8   146.8   155.3   209.7   250.2   277.8   298.2   320.5   345.0   376.2   434.5   591.3  4629.9 122297.0   122371
